Exists,Page Name,Pages That Link To This Page,Pages Linked from This Page
Yes,/index.php/Hypoxaemia_and_cardiorespiratory_changes_during_epileptic_seizures_in_young_children,"/index.php//www.mediawiki.org/",/index.php/Incidence_and_mechanisms_of_cardiorespiratory_arrests_in_epilepsy_monitoring_units_(MORTEMUS):_a_retrospective_study
Yes,/index.php/QT_dispersion,"/index.php//www.mediawiki.org/",/index.php/Increased_QT_dispersion_in_epileptic_children
Yes,/index.php/Hemispheric_influence_on_autonomic_modulation_and_baroreflex_sensitivity,"/index.php//www.mediawiki.org/",
Yes,/index.php/Decrease_of_sympathetic_cardiovascular_modulation_after_temporal_lobe_epilepsy_surgery,"/index.php//www.mediawiki.org/",
Yes,/index.php/Outcome_of_epilepsy_surgery_correlates_with_sympathetic_modulation_and_neuroimaging_of_the_heart,"/index.php//www.mediawiki.org/",
Yes,/index.php/Right_ventromedial_prefrontal_lesions_result_in_paradoxical_cardiovascular_activation_with_emotional_stimuli,"/index.php//www.mediawiki.org/",
Yes,/index.php/Two_cases_of_sudden_unexpected_death_in_epilepsy_in_a_GEFS+_family_with_an_SCN1A_mutation,"/index.php//www.mediawiki.org/",
Yes,/index.php/Unexpected_death_in_young_epileptics,"/index.php//www.mediawiki.org/",
No,/index.php/Can_sudden_unexplained_death_in_epilepsy_be_prevented?,,
Yes,/index.php/Sudden_unexpected_death_in_epilepsy:_A_search_for_risk_factors,"/index.php/index.php/Review_of_the_legal_obligations_of_the_doctor_to_discuss_Sudden_Unexplained_Death_in_Epilepsy_(SUDEP)_â€“_A_cohort_controlled_comparative_cross-matched_study_in_an_outpatient_epilepsy_clinic/index.php/A_review_of_sudden_unexpected_death_in_epilepsy:_Prediction_of_patients_at_risk/index.php/Incidence_and_mechanisms_of_cardiorespiratory_arrests_in_epilepsy_monitoring_units_(MORTEMUS):_a_retrospective_study//www.mediawiki.org/",
Yes,/index.php/Phase-switching_of_respiration_induced_by_central_gray_and_hippocampal_stimulation_in_the_cat,"/index.php//www.mediawiki.org/",
Yes,/index.php/Levels_of_integration_of_respiratory_patterns,"/index.php//www.mediawiki.org/",
Yes,"/index.php/Amygdaloid_projections_to_the_mesencephalon,_pons_and_medulla_oblongata_in_the_cat","/index.php/index.php/Direct_projections_from_the_ventrolateral_medulla_oblongata_to_the_limbic_forebrain:_Anterograde_and_retrograde_tract-tracing_studies_in_the_rat//www.mediawiki.org/","/index.php/Direct_projections_from_the_ventrolateral_medulla_oblongata_to_the_limbic_forebrain:_Anterograde_and_retrograde_tract-tracing_studies_in_the_rat/index.php/Respiratory_modulation_of_neuronal_discharge_in_the_central_nucleus_of_the_amygdala_during_sleep_and_waking_states"
Yes,/index.php/Anoxic-epileptic_seizures:_observational_study_of_epileptic_seizures_induced_by_syncopes,"/index.php//www.mediawiki.org/",
Yes,/index.php/ECG_abnormalities_in_epileptics,"/index.php//www.mediawiki.org/",
Yes,/index.php/Cardiac_asystole_associated_with_epileptic_seizures:_A_case_report_with_simultaneous_EEG_and_ECG,"/index.php//www.mediawiki.org/",
Yes,/index.php/A_review_of_sudden_unexpected_death_in_epilepsy:_Prediction_of_patients_at_risk,"/index.php//www.mediawiki.org/","/index.php/Comparison_of_anti-epileptic_drug_levels_in_different_cases_of_sudden_death/index.php/Sudden_unexpected_death_in_epilepsy:_A_search_for_risk_factors"
Yes,/index.php/Cardiogenic_syncope_in_temporal_lobe_epileptic_seizures,"/index.php//www.mediawiki.org/",
Yes,/index.php/Causes_of_death_in_institutionalized_epileptics,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_death_in_epilepsy._A_comprehensive_review_of_the_literature_and_proposed_mechanisms,"/index.php//www.mediawiki.org/",
Yes,"/index.php/Sudden_unexpected_death_in_epilepsy:_Impact,_mechanisms,_and_prevention","/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_unexplained_death_in_young_persons_with_primary_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Postictal_apnea_as_an_important_mechanism_for_SUDEP:_A_near-SUDEP_with_continuous_EEG-ECG-EMG_recording,"/index.php//www.mediawiki.org/",
Yes,/index.php/Estimating_excess_winter_mortality_in_England_and_Wales,"/index.php//www.mediawiki.org/",
Yes,/index.php/Identification_of_a_possible_pathogenic_link_between_congenital_long_QT_syndrome_and_epilepsy,"/index.php//www.mediawiki.org/",
Yes,"/index.php/Sudden_unexpected_death_in_epilepsy_(Johnston,_Smith)","/index.php//www.mediawiki.org/",
Yes,/index.php/The_role_of_hypoventilation_in_a_sheep_model_of_epileptic_sudden_death,"/index.php//www.mediawiki.org/",
Yes,/index.php/Central_apnea_and_acute_cardiac_ischemia_in_a_sheep_model_of_epileptic_sudden_death,"/index.php//www.mediawiki.org/",
Yes,/index.php/Heart_rate_does_not_decrease_after_right_hemispheric_amobarbital_injection,"/index.php//www.mediawiki.org/",
Yes,"/index.php/Respiratory_responses_to_stimulation_of_temporal_pole,_insula,_and_hippocampal_and_limbic_gyri_in_man","/index.php//www.mediawiki.org/",
Yes,"/index.php/Respiratory_and_vascular_responses_in_monkeys_from_temporal_pole,_insula,_orbital_surface_and_cingulate_gyrus;_a_preliminary_report","/index.php//www.mediawiki.org/",
Yes,/index.php/Ictal_bradycardia_in_a_patient_with_a_hypothalamic_hamartoma:_A_stereo-EEG_study,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_unexpected_death_in_a_mouse_model_of_Dravet_syndrome,"/index.php//www.mediawiki.org/",
Yes,/index.php/Effect_of_vagal_nerve_electrostimulation_on_the_power_spectrum_of_heart_rate_variability_in_man,"/index.php//www.mediawiki.org/",
Yes,/index.php/Neurocardiac_responses_to_vagoafferent_electrostimulation_in_humans,"/index.php//www.mediawiki.org/",
Yes,/index.php/Equivocal_significance_of_post-ictal_generalized_EEG_suppression_as_a_marker_of_SUDEP_risk,"/index.php//www.mediawiki.org/",
No,/index.php/Epileptic_cardiac_arrhythmia:_sinoatrial_arrest_in_two_patients:_a_potential_cause_of_sudden_death_in_epilepsy?,,
Yes,/index.php/Cause_of_death_and_predictors_of_mortality_in_a_community-based_cohort_of_people_with_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/ECG_abnormalities_in_patients_with_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Electrocardiographic_changes_during_electrographic_seizures,"/index.php//www.mediawiki.org/",
Yes,/index.php/Bradyarrhythmias_induced_by_antiepileptics_increase_frequency_of_epileptic_seizures,"/index.php//www.mediawiki.org/",
Yes,/index.php/Electrophysiologic_effects_and_clinical_hazards_of_carbamazepine_treatment_for_neurologic_disorders_in_patients_with_abnormalities_of_the_cardiac_conduction_system,"/index.php//www.mediawiki.org/",
No,/index.php/Carbamazepine_induced_bradycardia_â€“_A_problem_in_general_or_only_in_susceptible_patients?_A_24-h_long-term_electrocardiogram_study,,
Yes,/index.php/Electrophysiological_evaluation_of_the_sodium-channel_blocker_carbamazepine_in_healthy_human_subjects,"/index.php//www.mediawiki.org/",
Yes,/index.php/Changes_in_arrhythmia_profile_and_heart_rate_variability_during_abrupt_withdrawal_of_antiepileptic_drugs._Implications_for_sudden_death,"/index.php//www.mediawiki.org/",
Yes,/index.php/Respiratory_Pathophysiology_With_Seizures_and_Implications_for_Sudden_Unexpected_Death_in_Epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Relation_between_ictal_asystole_and_cardiac_sympathetic_dysfunction_shown_by_MIBG-SPECT,"/index.php//www.mediawiki.org/",
Yes,/index.php/Death_in_Unverricht-Lundborg_disease,"/index.php//www.mediawiki.org/",
Yes,"/index.php/Effects_of_hypercapnia_on_hemodynamic,_inotropic,_lusitropic,_and_electrophysiologic_indices_in_humans","/index.php//www.mediawiki.org/",
Yes,"/index.php/Sudden_death,_febrile_seizures,_and_hippocampal_maldevelopment_in_toddlers:_A_new_entity","/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_death_in_toddlers_associated_with_developmental_abnormalities_of_the_hippocampus:_a_report_of_five_cases,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sinus_arrest_in_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Mortality_in_patients_with_epilepsy:_A_study_of_patients_in_long_term_residential_care,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_unexpected_death_in_epilepsy_(SUDEP):_A_clinical_perspective_and_a_search_for_risk_factors,"/index.php//www.mediawiki.org/",/index.php/Comparison_of_anti-epileptic_drug_levels_in_different_cases_of_sudden_death
Yes,/index.php/Asystolic_Seizures,"/index.php//www.mediawiki.org/",
Yes,"/index.php/Inhibition_of_adenosine_metabolism_induces_changes_in_post-ictal_depression,_respiration,_and_mortality_in_genetically_epilepsy_prone_rats","/index.php//www.mediawiki.org/",
No,/index.php/The_role_of_enkephalins_in_the_production_of_epileptogenic_activity_and_autonomic_dysfunction:_origin_of_arrhythmia_and_sudden_death_in_the_epileptic_patient?,,
Yes,/index.php/Postictal_immobility_and_generalized_EEG_suppression_are_associated_with_the_severity_of_respiratory_dysfunction,"/index.php//www.mediawiki.org/",
Yes,/index.php/The_potential_for_QT_prolongation_by_antiepileptic_drugs_in_children,"/index.php//www.mediawiki.org/",
Yes,/index.php/Amygdala_and_hippocampus_are_symptomatogenic_zones_for_central_apneic_seizures,"/index.php/index.php/Respiratory_modulation_of_neuronal_discharge_in_the_central_nucleus_of_the_amygdala_during_sleep_and_waking_states//www.mediawiki.org/",/index.php/Respiratory_modulation_of_neuronal_discharge_in_the_central_nucleus_of_the_amygdala_during_sleep_and_waking_states
Yes,/index.php/Incidence_and_significance_of_periictal_apnea_in_epileptic_seizures,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_cardiac_arrest_in_people_with_epilepsy_in_the_community:_Circumstances_and_risk_factors,"/index.php//www.mediawiki.org/",
Yes,/index.php/Postictal_generalized_EEG_suppression:_an_inconsistent_finding_in_people_with_multiple_seizures,"/index.php//www.mediawiki.org/",/index.php/Postictal_generalized_electroencephalographic_suppression_is_associated_with_generalized_seizures
Yes,/index.php/Sudden_unexpected_death_in_epilepsy:_people_with_nocturnal_seizures_may_be_at_highest_risk,"/index.php//www.mediawiki.org/",
Yes,/index.php/Differential_effects_of_right_unilateral_and_bilateral_ECT_on_heart_rate,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_unexpected_death_in_epilepsy_(SUDEP):_Risk_factors_and_case_control_studies,"/index.php//www.mediawiki.org/",
Yes,/index.php/Patients_with_epilepsy_who_die_suddenly_do_not_always_have_cardiac_disease,"/index.php//www.mediawiki.org/",
Yes,/index.php/The_incidence_of_sudden_unexpected_death_in_epilepsy_(SUDEP)_in_South_Dublin_and_Wicklow,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_unexpected_death_in_epilepsy:_a_series_of_witnessed_deaths,"/index.php//www.mediawiki.org/",
Yes,/index.php/Certification_of_deaths_attributable_to_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Case-control_study_of_SUDEP,"/index.php//www.mediawiki.org/",
Yes,"/index.php/Review_of_autonomic_dysfunction,_cardiac_arrhythmias,_and_epileptogenic_activity","/index.php//www.mediawiki.org/",
Yes,/index.php/Autonomic_dysfunction_in_epilepsy:_characterization_of_autonomic_cardiac_neural_discharge_associated_with_pentylenetetrazol-induced_epileptogenic_activity,"/index.php//www.mediawiki.org/",
Yes,/index.php/Neural_mechanisms_in_cardiac_arrhythmias_associated_with_epileptogenic_activity:_the_effect_of_phenobarbital_in_the_cat,"/index.php//www.mediawiki.org/",
Yes,/index.php/Synchronization_of_cardiac_autonomic_neural_discharge_with_epileptogenic_activity:_The_lockstep_phenomenon,"/index.php//www.mediawiki.org/",
Yes,/index.php/The_effect_of_phenobarbital_on_autonomic_function_and_epileptogenic_activity_induced_by_the_hippocampal_injection_of_penicillin_in_cats,"/index.php//www.mediawiki.org/",
Yes,/index.php/Epilepsy_and_sudden_death:_personal_reflections_and_call_for_global_action,"/index.php//www.mediawiki.org/",
No,/index.php/Clinical_pharmacology:_drugs_as_a_benefit_and/or_risk_in_sudden_unexpected_death_in_epilepsy?,,
Yes,/index.php/Stress_and_sudden_death,"/index.php//www.mediawiki.org/",
Yes,/index.php/Verbal_autopsies_and_SUDEP,"/index.php//www.mediawiki.org/","/index.php/Sudden_unexpected,_unexplained_death_in_epilepsy_autopsied_patients"
Yes,/index.php/The_mystery_of_sudden_death:_Mechanisms_for_risks,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_unexpected_death_in_epilepsy:_a_retrospective_study,"/index.php//www.mediawiki.org/",
Yes,/index.php/Partial_seizures_manifesting_as_apnea_only_in_an_adult,"/index.php//www.mediawiki.org/",
Yes,/index.php/The_role_of_autonomic_dysfunction_in_sudden_unexplained_death_in_epilepsy_patients,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_unexpected_death_associated_with_seizures:_Analysis_of_66_cases,"/index.php//www.mediawiki.org/",/index.php/Comparison_of_anti-epileptic_drug_levels_in_different_cases_of_sudden_death
Yes,/index.php/Sudden_epilepsy_deaths_and_the_forensic_pathologist,"/index.php//www.mediawiki.org/",
Yes,/index.php/A_prospective_study_on_sudden_unexpected_death_in_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_unexplained_death_in_epilepsy:_observations_from_a_large_clinical_development_program,"/index.php//www.mediawiki.org/",
Yes,/index.php/Forensic_considerations_in_sudden_unexpected_death_in_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Genome-wide_Polygenic_Burden_of_Rare_Deleterious_Variants_in_Sudden_Unexpected_Death_in_Epilepsy,"/index.php//www.mediawiki.org/",
Yes,"/index.php/Finding_the_missing_link_between_ictal_bradyarrhythmia,_ictal_asystole,_and_sudden_unexpected_death_in_epilepsy","/index.php//www.mediawiki.org/",
Yes,/index.php/Asystole_induced_by_electrical_stimulation_of_the_left_cingulate_gyrus,"/index.php//www.mediawiki.org/",
Yes,/index.php/Electrocardiographic_changes_at_the_onset_of_epileptic_seizures,"/index.php//www.mediawiki.org/",
Yes,"/index.php/Sudden_unexpected_death_in_epilepsy_(Lhatoo,_Sander)","/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_unexpected_death:_a_rare_event_in_a_large_community_based_prospective_cohort_with_newly_diagnosed_epilepsy_and_high_remission_rates,"/index.php//www.mediawiki.org/",
Yes,"/index.php/Sudden_unexpected_death_in_epilepsy_(Lhatoo,_Langan,_Sander)","/index.php//www.mediawiki.org/",
Yes,"/index.php/Mortality_in_epilepsy_in_the_first_11_to_14_years_after_diagnosis:_multivariate_analysis_of_a_long-term,_prospective,_population-based_cohort","/index.php//www.mediawiki.org/",
Yes,/index.php/An_electroclinical_case-control_study_of_sudden_unexpected_death_in_epilepsy,"/index.php/index.php/Postictal_generalized_electroencephalographic_suppression_is_associated_with_generalized_seizures//www.mediawiki.org/",
Yes,/index.php/Sudden_unexpected_death_in_epilepsy:_Identifying_risk_and_preventing_mortality,"/index.php//www.mediawiki.org/",
Yes,/index.php/Nonseizure_SUDEP:_Sudden_unexpected_death_in_epilepsy_without_preceding_epileptic_seizures,"/index.php//www.mediawiki.org/",
Yes,/index.php/Ictal_ECG_changes_in_temporal_lobe_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Association_of_prone_position_with_sudden_unexpected_death_in_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Cardiac_arrest_due_to_partial_epileptic_seizures,"/index.php//www.mediawiki.org/",
Yes,"/index.php/Brain_seizes,_heart_ceases:_a_case_of_ictal_asystole","/index.php//www.mediawiki.org/",
No,/index.php/Cardiovascular_causes_of_loss_of_consciousness_in_patients_with_presumed_epilepsy:_a_cause_of_the_increased_sudden_death_rate_in_people_with_epilepsy?,,
No,/index.php/Sudden_death_in_epilepsy:_An_avoidable_outcome?,,
Yes,"/index.php/Psychoactive_agents,_seizure_production,_and_sudden_death_in_epilepsy","/index.php//www.mediawiki.org/",
Yes,/index.php/Living_with_epileptic_seizures,"/index.php//www.mediawiki.org/",
Yes,/index.php/Cardiac_asystole_and_bradycardia_as_a_manifestation_of_left_temporal_lobe_complex_partial_seizure,"/index.php//www.mediawiki.org/",
Yes,/index.php/Epilepsy_in_the_elderly:_Life_expectancy_and_causes_of_death,"/index.php//www.mediawiki.org/",
Yes,/index.php/The_role_of_antiepileptics_in_sudden_death_in_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Treatments_for_the_prevention_of_Sudden_Unexpected_Deathin_Epilepsy_(SUDEP),"/index.php//www.mediawiki.org/",
Yes,/index.php/Novel_SCN5A_mutation_(Q55X)_associated_with_age-dependent_expression_of_Brugada_syndrome_presenting_as_neurally_mediated_syncope,"/index.php//www.mediawiki.org/",
Yes,/index.php/Errors_and_misconceptions_in_ECG_measurement_used_for_the_detection_of_drug_induced_QT_interval_prolongation,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_death_in_epilepsy:_An_experimental_animal_model,"/index.php//www.mediawiki.org/",
Yes,/index.php/Ictal_tachycardia_during_temporal_lobe_seizures,"/index.php//www.mediawiki.org/",
Yes,/index.php/Alteration_of_cardiac_function_in_patients_with_temporal_lobe_epilepsy:_Different_roles_of_EEG-ECG_monitoring_and_spectral_analysis_of_RR_variability,"/index.php//www.mediawiki.org/",
Yes,/index.php/Mechanisms_of_sudden_unexpected_death_in_epilepsy:_the_pathway_to_prevention,"/index.php//www.mediawiki.org/",
Yes,/index.php/Mortality_from_epilepsy._International_patterns_and_changes_over_time,"/index.php//www.mediawiki.org/",
Yes,/index.php/EKG_abnormalities_in_children_and_adolescents_with_symptomatic_temporal_lobe_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Epidemiology_and_classification_of_epilepsy:_Gender_comparisons,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_unexpected_death_in_epilepsy_in_adults_with_mental_retardation,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_death_in_epilepsy_recorded_in_ambulatory_EEG,"/index.php//www.mediawiki.org/",
Yes,/index.php/Cardiogenic_seizure_with_bradyarrhythmia:_documentation_of_the_mechanism_during_asystole,"/index.php//www.mediawiki.org/",
Yes,/index.php/Feature_selection_methods_for_accelerometry-based_seizure_detection_in_children,"/index.php//www.mediawiki.org/",
Yes,/index.php/Mortality_in_adults_with_newly_diagnosed_and_chronic_epilepsy:_A_retrospective_comparative_study,"/index.php//www.mediawiki.org/",
Yes,/index.php/Ictal_bradycardia_followed_by_cardiac_asystole:_A_case_report,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_unexpected_death_in_epilepsy_patients:_Risk_factors._A_systematic_review,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_unexpected_death_in_epilepsy_in_children_and_adolescents,"/index.php//www.mediawiki.org/",
No,"/index.php/Sudden_unexpected_death_in_epilepsy_(SUDEP):_Donâ€™t_ask,_donâ€™t_tell?",,
Yes,/index.php/The_SUDEP_Risk_Inventory:_Association_with_postictal_generalized_EEG_suppression,"/index.php//www.mediawiki.org/",
Yes,/index.php/Seizure_related_autonomic_changes_in_children,"/index.php//www.mediawiki.org/",
Yes,/index.php/Cardiovascular_autonomic_functions_in_well-controlled_and_intractable_partial_epilepsies,"/index.php//www.mediawiki.org/",
Yes,/index.php/Selective_paralysis_of_voluntary_but_not_limbically_influenced_automatic_respiration,"/index.php//www.mediawiki.org/",
Yes,/index.php/Mortality_from_ischaemic_heart_disease_among_patients_using_anticonvulsive_drugs:_A_case-control_study,"/index.php//www.mediawiki.org/",
No,/index.php/Can_SCN1A_mutations_account_for_SUDEP?,,
Yes,"/index.php/Laryngospasm,_central_and_obstructive_apnea_during_seizures:_Defining_pathophysiology_for_sudden_death_in_a_rat_model","/index.php//www.mediawiki.org/",
Yes,/index.php/Effects_of_seizure_repetition_on_postictal_and_interictal_neurocardiac_regulation_in_the_rat,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_unexpected_death_in_epilepsy:_Terminology_and_definitions,"/index.php//www.mediawiki.org/",
Yes,"/index.php/From_mystery_to_prevention:_Sudden_unexpected_death_in_epilepsy,_time_to_move_on","/index.php//www.mediawiki.org/",
Yes,/index.php/Epilepsy_and_sudden_death,"/index.php//www.mediawiki.org/",
No,/index.php/Sudden_unexpected_deaths_in_epilepsy_â€“_Where_are_we_now?,,
Yes,/index.php/Sudden_death_in_epilepsy:_A_study_of_incidence_in_a_young_cohort_with_epilepsy_and_learning_difficulty,"/index.php//www.mediawiki.org/",
Yes,/index.php/Incidence_of_sudden_unexpected_death_in_an_adult_outpatient_cohort_with_epilepsy_at_a_tertiary_referral_centre,"/index.php//www.mediawiki.org/",
Yes,/index.php/Apnoea_and_bradycardia_during_epileptic_seizures:_Relation_to_sudden_death_in_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Circumstances_of_death_in_sudden_death_in_epilepsy:_interviews_of_bereaved_relatives,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_unexpected_death_in_epilepsy_(SUDEP):_Update_and_reflections,"/index.php//www.mediawiki.org/",
Yes,/index.php/Risk_factors_in_sudden_death_in_epilepsy_(SUDEP):_The_quest_for_mechanisms,"/index.php//www.mediawiki.org/",
Yes,/index.php/Unifying_the_definitions_of_sudden_unexpected_death_in_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/SUDEP:_Time_for_preventionâ€”evidence_and_clinical_translation._Proceedings_from_the_Epilepsy_Research_UK_2014_Expert_Workshop,"/index.php//www.mediawiki.org/",
Yes,/index.php/Patients_with_epilepsy_who_die_suddenly_have_cardiac_disease,"/index.php//www.mediawiki.org/",
Yes,/index.php/EKG_abnormalities_during_partial_seizures_in_refractory_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Cardiac_effects_of_seizures,"/index.php//www.mediawiki.org/",
Yes,/index.php/EEG_and_ECG_in_sudden_unexplained_death_in_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Respiratory_arrest_from_seizure_discharges_in_the_limbic_system,"/index.php/index.php/Respiratory_modulation_of_neuronal_discharge_in_the_central_nucleus_of_the_amygdala_during_sleep_and_waking_states//www.mediawiki.org/",/index.php/Respiratory_modulation_of_neuronal_discharge_in_the_central_nucleus_of_the_amygdala_during_sleep_and_waking_states
Yes,/index.php/Sudden_death_from_hypoventilation_during_epileptic_seizures,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_and_unexpected_natural_death_in_childhood_and_adolescence,"/index.php//www.mediawiki.org/",
Yes,"/index.php/Cause-specific_mortality_in_epilepsy:_A_cohort_study_of_more_than_9,000_patients_once_hospitalized_for_epilepsy","/index.php//www.mediawiki.org/",
Yes,/index.php/Risk_factors_for_sudden_unexpected_death_in_epilepsy:_A_case-control_study,"/index.php//www.mediawiki.org/",
Yes,/index.php/Antiepileptic_drug_therapy_and_its_management_in_sudden_unexpected_death_in_epilepsy:_A_case-control_study,"/index.php//www.mediawiki.org/",
Yes,/index.php/Mortality_in_a_population-based_cohort_of_epilepsy_surgery_patients,"/index.php//www.mediawiki.org/",
Yes,/index.php/Amygdala-stimulation-induced_apnea_is_attention_and_nasal_breathing_dependent,"/index.php/index.php/Respiratory_modulation_of_neuronal_discharge_in_the_central_nucleus_of_the_amygdala_during_sleep_and_waking_states//www.mediawiki.org/",/index.php/Respiratory_modulation_of_neuronal_discharge_in_the_central_nucleus_of_the_amygdala_during_sleep_and_waking_states
Yes,/index.php/Cardiac_arrhythmias_in_the_differential_diagnosis_of_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/The_importance_of_the_electrocardiogram_in_ambulatory_electroencephalographic_recordings,"/index.php//www.mediawiki.org/",
Yes,/index.php/Risk_Assessment_for_Sudden_Deathin_Epilepsy:_The_SUDEP-7_Inventory,"/index.php//www.mediawiki.org/",
Yes,"/index.php/The_mortality_associated_with_epilepsy,_with_particular_reference_to_sudden_unexpected_death:_a_review","/index.php//www.mediawiki.org/",
Yes,/index.php/Computerized_seizure_detection_based_on_heart_rate_changes,"/index.php//www.mediawiki.org/",
Yes,/index.php/Comparison_of_antiepileptic_drug_levels_in_sudden_unexpected_deaths_in_epilepsy_with_deaths_from_other_causes,"/index.php//www.mediawiki.org/",/index.php/Comparison_of_anti-epileptic_drug_levels_in_different_cases_of_sudden_death
Yes,/index.php/Prolactin_levels_in_sudden_unexpected_death_in_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_unexpected_death_in_epilepsy_in_Victoria,"/index.php//www.mediawiki.org/",/index.php/Comparison_of_anti-epileptic_drug_levels_in_different_cases_of_sudden_death
No,/index.php/Does_cardiac_conduction_pathology_contribute_to_sudden_unexpected_death_in_epilepsy?,,
Yes,/index.php/Risk_factors_for_sudden_unexpected_death_in_epilepsy:_A_controlled_prospective_study_based_on_coroners_cases,"/index.php//www.mediawiki.org/",
Yes,/index.php/Heart_rate_and_EKG_changes_in_102_seizures:_Analysis_of_influencing_factors,"/index.php//www.mediawiki.org/",
Yes,/index.php/Cardiovascular_effects_of_human_insular_cortex_stimulation,"/index.php/index.php/Unilateral_cerebral_inactivation_produces_differential_left/right_heart_rate_responses//www.mediawiki.org/",/index.php/Unilateral_cerebral_inactivation_produces_differential_left/right_heart_rate_responses
Yes,/index.php/The_Causes_of_Death_in_Epilepsy:_A_Systematic_Review,"/index.php//www.mediawiki.org/",
Yes,/index.php/The_prolonged_QT_syndrome_presenting_as_epilepsy:_A_report_of_two_cases_and_literature_review,"/index.php//www.mediawiki.org/",
Yes,/index.php/Entropy_measures_of_heart_rate_variation_in_conscious_dogs,"/index.php//www.mediawiki.org/",
Yes,/index.php/Patient-centered_design_criteria_for_wearable_seizure_detection_devices,"/index.php//www.mediawiki.org/",
Yes,/index.php/Echo-planar_functional_MR_imaging_of_epilepsy_with_concurrent_EEG_monitoring,"/index.php//www.mediawiki.org/",
Yes,/index.php/Multiple_serotonergic_brainstem_abnormalities_in_sudden_infant_death_syndrome,"/index.php//www.mediawiki.org/",
Yes,/index.php/Potentially_high-risk_cardiac_arrhythmias_with_focal_to_bilateral_tonicâ€“clonic_seizures_and_generalized_tonicâ€“clonic_seizures_are_associated_with_the_duration_of_periictal_hypoxemia,"/index.php//www.mediawiki.org/",
Yes,"/index.php/Temporal_correlations_between_heart_rate,_medullary_units_and_hippocampal_theta_rhythm_in_anesthetized,_sleeping_and_awake_guinea_pigs","/index.php//www.mediawiki.org/",
Yes,/index.php/Sudden_death_in_epilepsy:_A_wake-up_call_for_management,"/index.php//www.mediawiki.org/",
Yes,/index.php/Postictal_generalized_EEG_suppression_and_respiratory_dysfunction_following_generalized_tonicâ€“clonic_seizures_in_sleep_and_wakefulness,"/index.php//www.mediawiki.org/",
Yes,"/index.php/Sudden_unexpected_death_in_epileptics_following_sudden,_intense,_increases_in_geomagnetic_activity:_Prevalence_of_effect_and_potential_mechanisms","/index.php//www.mediawiki.org/",
Yes,"/index.php/Sudden_death_in_epileptic_rats_exposed_to_nocturnal_magnetic_fields_that_simulate_the_shape_and_the_intensity_of_sudden_changes_in_geomagnetic_activity:_An_experiment_in_response_to_Schnabel,_Beblo_and_May","/index.php//www.mediawiki.org/",
Yes,/index.php/Preoperative_heart_rate_variability_in_relation_to_surgery_outcome_in_refractory_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/No_apparent_effect_of_surgery_for_temporal_lobe_epilepsy_on_heart_rate_variability,"/index.php//www.mediawiki.org/",
Yes,/index.php/Carbamazepine_affects_autonomic_cardiac_control_in_patients_with_newly_diagnosed_epilepsy,"/index.php//www.mediawiki.org/",
Yes,/index.php/Heart_rate_variability_in_patients_with_untreated_epilepsy,"/index.php//www.mediawiki.org/",
